Province,Year,Total_Accidents,Fatal_Accidents,Non_Fatal_Accidents,Killed,Injured,Vehicles_Involved,Year_Start,Fatality_Rate,Fatal_Pct,Injury_Rate,Killed_per_Accident,Vehicles_per_Accident,Severity
Pakistan,2008-09,9496,4145,5351,4907,11037,10322,2008,51.67,43.65,116.23,1.184,1.087,Medium
Pakistan,2009-10,9747,4378,5369,5280,11173,10496,2009,54.17,44.92,114.63,1.206,1.077,Medium
Pakistan,2010-11,9723,4280,5443,5271,11383,10822,2010,54.21,44.02,117.07,1.232,1.113,Medium
Pakistan,2011-12,9140,3966,5174,4758,10145,9986,2011,52.06,43.39,111.0,1.2,1.093,Medium
Pakistan,2012-13,8988,3884,5104,4719,9710,9876,2012,52.5,43.21,108.03,1.215,1.099,Medium
Pakistan,2013-14,8359,3500,4859,4348,9777,9423,2013,52.02,41.87,116.96,1.242,1.127,Medium
Pakistan,2014-15,7865,3214,4651,3954,9661,8949,2014,50.27,40.86,122.84,1.23,1.138,Medium
Pakistan,2015-16,9100,3591,5509,4448,11544,10636,2015,48.88,39.46,126.86,1.239,1.169,Medium
Pakistan,2016-17,9582,4036,5546,5047,12696,11317,2016,52.67,42.12,132.5,1.25,1.181,Medium
Pakistan,2017-18,11121,4829,6292,5948,14489,13134,2017,53.48,43.42,130.29,1.232,1.181,Medium
Pakistan,2018-19,10779,4878,5901,5932,13219,12908,2018,55.03,45.25,122.64,1.216,1.198,High
Punjab,2008-09,5240,2471,2769,2912,5790,5240,2008,55.57,47.16,110.5,1.178,1.0,High
Punjab,2009-10,5344,2590,2754,3083,5856,5344,2009,57.69,48.47,109.58,1.19,1.0,High
Punjab,2010-11,5420,2591,2829,3167,5809,5420,2010,58.43,47.8,107.18,1.222,1.0,High
Punjab,2011-12,4990,2361,2629,2888,5071,4990,2011,57.88,47.31,101.62,1.223,1.0,High
Punjab,2012-13,4587,2213,2374,2692,4515,4587,2012,58.69,48.25,98.43,1.216,1.0,High
Punjab,2013-14,3696,1717,1979,2145,3941,3696,2013,58.04,46.46,106.63,1.249,1.0,High
Punjab,2014-15,3054,1435,1619,1750,3652,3054,2014,57.3,46.99,119.58,1.22,1.0,High
Punjab,2015-16,3288,1576,1712,2053,4550,3288,2015,62.44,47.93,138.38,1.303,1.0,High
Punjab,2016-17,3819,1989,1830,2494,5231,3819,2016,65.31,52.08,136.97,1.254,1.0,High
Punjab,2017-18,5093,2708,2385,3371,6772,5093,2017,66.19,53.17,132.97,1.245,1.0,High
Punjab,2018-19,4823,2808,2015,3423,5916,4823,2018,70.97,58.22,122.66,1.219,1.0,Critical
Sindh,2008-09,1433,824,609,961,1160,1562,2008,67.06,57.5,80.95,1.166,1.09,High
Sindh,2009-10,1465,883,582,1031,1261,1580,2009,70.38,60.27,86.08,1.168,1.078,Critical
Sindh,2010-11,1270,758,512,927,1071,1541,2010,72.99,59.69,84.33,1.223,1.213,Critical
Sindh,2011-12,1054,681,373,756,681,1121,2011,71.73,64.61,64.61,1.11,1.064,Critical
Sindh,2012-13,935,582,353,696,637,960,2012,74.44,62.25,68.13,1.196,1.027,Critical
Sindh,2013-14,945,613,332,791,893,1103,2013,83.7,64.87,94.5,1.29,1.167,Critical
Sindh,2014-15,881,583,298,771,863,1029,2014,87.51,66.17,97.96,1.322,1.168,Critical
Sindh,2015-16,924,634,290,749,754,1144,2015,81.06,68.61,81.6,1.181,1.238,Critical
Sindh,2016-17,880,608,272,786,970,1009,2016,89.32,69.09,110.23,1.293,1.147,Critical
Sindh,2017-18,848,586,262,802,838,1015,2017,94.58,69.1,98.82,1.369,1.197,Critical
Sindh,2018-19,972,620,352,725,829,1142,2018,74.59,63.79,85.29,1.169,1.175,Critical
